"","IBCSplitCode","IBCCodeDescription","CleanText"
"27","0730z00","Agriculture, horticultural services, N.O.C. ( incl. Tree and Sod farms)","agriculture, horticultural services, n.o.c. ( incl. tree and sod farms)"
"28","0730c00","Brushcutting/Landclearing (IBC Split Code applies only to Product = Farm)","brushcutting landclearing ( )"
"29","5692a00","Accessories (belts, hosiery, scarves, etc.)","accessories (belts, hosiery, scarves, etc.)"
"30","0733a00","Custom Crop or weed spraying or fertilizing","custom crop or weed spraying or fertilizing"
"31","0190d00","Apiaries","apiaries"
"32","0731a10","Custom Baling - Farming for Others","custom baling - farming for others"
"33","8915a00","Architects","architects"
"34","1830d00","Architectural preservationists (historical)","architectural preservationists (historical)"
"35","0734a00","Nurserymen, florist (not store or greenhouse)","nurserymen, florist "
"36","0731a30","Custom Land/Swath Rolling - Farming for Others","custom land swath rolling - farming for others"
"37","7913a00","Amusement arcade - Coin operated (Video arcades, no riding machines)","amusement arcade - coin operated (video arcades,"
"38","0731a40","Custom Seeding - Farming for Others","custom seeding - farming for others"
"39","4111a00","Armored car services","armored car services"
"40","0731a20","Custom Combining - Farming for Others","custom combining - farming for others"
"41","0731a50","Custom Harrowing, Rock Picking - Farming for Others","custom harrowing, rock picking - farming for others"
"42","5592a00","Aircraft supplies","aircraft supplies"
"43","0730a00","Artificial insemination firms (Agricultural)","artificial insemination firms (agricultural)"
"44","0110a00","Field crops","field crops"
"45","0123a00","Greenhouses (IBC Split Code applies only to Product = Farm)","greenhouses ( )"
"46","0121c00","Mushroom farms","mushroom farms"
"47","7401a00","Auctioneers and auction houses","auctioneers and auction houses"
"48","0122a00","Crops under cover - not greenhouses (e.g. ginseng)","crops under cover -"
"49","8066a00","Abortion facilities (outpatient)","abortion facilities (outpatient)"
"50","0141a00","Horse farms - equestrian, riding schools, rental, etc.  No breeding. No boarding.","horse farms - equestrian, riding schools, rental, etc. "
"51","8080a00","Acupuncturists","acupuncturists"
"52","0190z10","Other than animal farms - NOC","other than animal farms - noc"
"53","0630a00","Peat plants (farming)","peat plants (farming)"
"54","7543a00","Auto and truck rental agencies","auto and truck rental agencies"
"55","6140a00","Finance companies / credit bureaus / Institutions","finance companies credit bureaus institutions"
"56","8917a00","Home Inspectors/Heating or Electrical Consultants","home inspectors heating or electrical consultants"
"57","8293a00","Zoos, (not commercial zoos) Zoologist","zoos, zoologist"
"58","8912x00","Line Locator - Oilfield Operations","line locator - oilfield operations"
"59","8912x10","Landman - Oilfield Operations","landman - oilfield operations"
"60","5531a00","Auto body repair / paint shops","auto body repair paint shops"
"61","8914a00","Geophysical services incl. soil testing/Geologist","geophysical services incl. soil testing geologist"
"62","5524a00","Auto car washes - not self serve","auto car washes -"
"63","5121a00","Auto dismantling, incl. salvage","auto dismantling, incl. salvage"
"64","7541a00","Auto parking facilities, garages","auto parking facilities, garages"
"65","5513a00","Auto repair shops - not self serve - cars only","auto repair shops - cars only"
"66","8916x00","Engineers - Oilfield Operations","engineers - oilfield operations"
"67","8917b00","Mercantile/manufacturing inspection for insurance; appraisers","mercantile manufacturing inspection for insurance; appraisers"
"68","8912b00","Quantity Surveyors","quantity surveyors"
"69","7970a00","Ticket agencies (sport and entertainment events)","ticket agencies (sport and entertainment events)"
"70","5523a00","Auto specialty shop (Mufflers, transmissions etc.) Excl audio","auto specialty shop (mufflers, transmissions etc.) "
"71","7542a00","Auto storage garage","auto storage garage"
"72","6250b00","Money marts and cheque cashing facilities","money marts and cheque cashing facilities"
"73","6250a00","Currency brokers, exchanges","currency brokers, exchanges"
"74","7220b00","Linen suppliers & industrial launderers","linen suppliers industrial launderers"
"75","7544a00","Automobile appraisal services","automobile appraisal services"
"76","6150a00","Investment institutions","investment institutions"
"77","2872a00","Adhesives, glue, paste manufacturing","adhesives, glue, paste manufacturing"
"78","3694a00","Agricultural machinery mfg.","agricultural machinery manufactur."
"79","5711b00","Antiques, bric-a-brac","antiques, bric-a-brac"
"80","0741a00","Livestock commission merchant, livestock dealer. No possession of animals.","livestock commission merchandiseant, livestock dealer."
"81","3575a00","Air conditioning equipment - incl. heat pumps mfg.","air conditioning equipment - incl. heat pumps manufactur."
"82","5711c00","Art galleries / dealers, incl. conservators, framing on premises","art galleries dealers, incl. conservators, framing on premises"
"83","6240a00","Stock, commodity exchanges","stock, commodity exchanges"
"84","6022a00","Trust companies not accepting deposits","trust companies"
"85","6120a00","Credit unions, Caisses Populaires, savings & loan","credit unions, caisses populaires, savings loan"
"86","7312c00","Telemarketing agencies","telemarketing agencies"
"87","5715a00","Audio/video - sales only (e.g. disc, tape, record)","audio video - sales only (e.g. disc, tape, record)"
"88","4120b00","Ballooning and ballooning services","ballooning and ballooning services"
"89","6021a00","Banks / trust companies - accepting deposits","banks trust companies - accepting deposits"
"90","5224a00","Barber shop & beauty salon supplies","barber shop beauty salon supplies"
"91","7693b00","Repair shop - NOC","repair shop - noc"
"92","7296a00","Barber shops / men's hairstyling","barber shops men's hairstyling"
"93","5823b00","Bars, Taverns","bars, taverns"
"94","7692a00","Repair shops - electrical appliance other than home entertainment electronics","repair shops - electrical appliance otherthanhome entertainment electronics"
"95","3797a00","Aircraft and components mfg.","aircraft and components manufactur."
"96","7691a00","Repair shop - home entertainment (TV, radio, etc.)","repair shop - home entertainment (tv, radio, etc.)"
"97","3576a00","Alarm systems mfg.","alarm systems manufactur."
"98","7408c90","Consultants (NOC) - Excluding Oil & Gas consultants. For Oil & Gas consultants, refer to Oil & Gas Risk Grades","consultants (noc) - "
"99","7054a00","Bed and breakfast inns","bed and breakfast inns"
"100","5932a99","Bait and tackle shops","bait and tackle shops"
"101","7405a00","Employment agencies - (office clerical only)","employment agencies - (office clerical only)"
"102","7408b20","Education Advisory Services","education advisory services"
"103","5421b00","Bakeries - retail. No deep fat frying or cooking","bakeries - retail."
"104","5421a00","Bakeries - retail. With deep fat frying and cooking","bakeries - retail. with deep fat frying and cooking"
"105","7405b00","Employment agencies - (other)","employment agencies - (other)"
"106","7982a00","Amusement devices - not coin operated","amusement devices -"
"107","7982z00","Amusement devices - other","amusement devices - other"
"108","0150z00","Birds farms other than poultry","birds farms otherthanpoultry"
"109","1515a00","Blasting contractors","blasting contractors"
"110","8019a00","Anesthetists","anesthetists"
"111","7408c20","Project Management","project management"
"112","2044a00","Alfalfa mills (mfg.)","alfalfa mills (manufactur.)"
"113","8913a00","Boiler inspection","boiler inspection"
"114","3360a00","Aluminum powder mfg.","aluminum powder manufactur."
"115","8944a00","Botanical gardens / parks","botanical gardens parks"
"116","3360b00","Aluminum smelter mfg.","aluminum smelter manufactur."
"117","7981a00","Amusement parks - permanently located","amusement parks - permanently located"
"118","2041b00","Animal feed excluding pet food mfg.","animal feed "
"119","3298a00","Asbestos, asbestos products mfg.","asbestos, asbestos products manufactur."
"120","2950a00","Asphalt mixing plant & asphalt products mfg incl. roofing products, Linoleum","asphalt mixing plant asphalt products manufactur incl. roofing products, linoleum"
"121","7400a00","Copying / duplicating (quick print)","copying duplicating (quick print)"
"122","7408c30","Small Business Advisory","small business advisory"
"123","7408d10","Draftsmen/Blue Printers","draftsmen blue printers"
"124","7408b10","Career Advisory Services","career advisory services"
"125","7408p00","Appraisers/Evaluators","appraisers evaluators"
"126","7406a00","Mailing / addressing services","mailing addressing services"
"127","5041b00","Brokers, Gas, Petroleum","brokers, gas, petroleum"
"128","3981a00","Athletic protective equipment mfg.","athletic protective equipment manufactur."
"129","7408c50","Quality Assurance Consultants","quality assurance consultants"
"130","7408c10","Human Resource Consultant","human resource consultant"
"131","7408k00","Tax Assessors","tax assessors"
"132","7408m00","Translators","translators"
"133","1812a00","Building construction - residential NOC - including renovation/repairs","building construction - residential noc - including renovation repairs"
"134","1811a00","Building construction, residential - 1 or 2 family dwellings, incl. renovation/repair","building construction, residential - 1 or 2 family dwellings, incl. renovation repair"
"135","7408e00","Authors","authors"
"136","7393a00","Building managers/Real estate managers /Property Managers","building managers real estate managers property managers"
"137","7409a00","Piano tuning","piano tuning"
"138","7408a20","Conference/Exhibition organizers","conference exhibition organizers"
"139","7408n00","Trustees in Bankruptcy/Receivers/Liquidators","trustees in bankruptcy receivers liquidators"
"140","7408d20","Map Drawing Services","map drawing services"
"141","5713b00","Beds and mattresses stores - no installation","beds and mattresses stores -"
"142","5221a00","Bullion in storage or transit","bullion in storage or transit"
"143","3796a00","Automobile body parts, accessories, non operating parts","automobile body parts, accessories, non operating parts"
"144","7403a10","Answering Services - No alarm monitoring","answering services -"
"145","7404a00","Towel, linen, uniform supply","towel, linen, uniform supply"
"146","7408f00","Genealogists","genealogists"
"147","5920a00","Beer / wine / liquor stores (excluding u-brew operations)","beer wine liquor stores ("
"148","7042a00","Campgrounds incl. trailer parks","campgrounds incl. trailer parks"
"149","7408g00","Herbalists","herbalists"
"150","3795z00","Automobile operating parts - NOC","automobile operating parts - noc"
"151","3794a00","Automobile wheel assemblies, brakes or steering parts","automobile wheel assemblies, brakes or steering parts"
"152","1752a00","Carpentry - away from shop","carpentry - away from shop"
"153","1751a00","Carpentry shop operations","carpentry shop operations"
"154","5934a00","Bicycle shops - sales and service","bicycle shops - sales and service"
"155","7408h00","Patent Agents","patent agents"
"156","5011a00","Cars, trucks, buses, auto auctions","cars, trucks, buses, auto auctions"
"157","7983z00","Arenas - hockey, ice, roller skating NOC","arenas - hockey, ice, roller skating noc"
"158","7403d00","Private security vaults","private security vaults"
"159","7923a00","Athletic event/teams/leagues - amateur - contact sports","athletic event teams leagues - amateur - contact sports"
"160","7297a00","Beauty parlours - no tanning beds- no laser therapy","beauty parlours -"
"161","7297a10","Beauty parlours - with tanning beds and /or laser therapy","beauty parlours - with tanning beds and or laser therapy"
"162","7402a00","Catering / commissariat work","catering commissariat work"
"163","0160a00","Cattle farms - Beef, Buffalo, Bison","cattle farms - beef, buffalo, bison"
"164","7293z00","Photography & videotaping service NOC - not aerial, motion picture","photography videotaping service noc - motion picture"
"165","2352a00","Awning manufacturing","awning manufacturing"
"166","7292b00","Photographic studios","photographic studios"
"167","2030a00","Baby food manufacturing","baby food manufacturing"
"168","7261a00","Cemeteries and mausoleums","cemeteries and mausoleums"
"169","7292a00","Film Studios","film studios"
"170","7297b00","Tanning Salons","tanning salons"
"171","7263a00","Cemetery pre-paid funds","cemetery pre-paid funds"
"172","4119a00","Charter, school bus, and handicapped transportation","charter, school bus, and handicapped transportation"
"173","2051a00","Bakeries","bakeries"
"174","7301a00","Restaurants - cooker - hood cleaning","restaurants - cooker - hood cleaning"
"175","7321a00","Chimney cleaning service contractors","chimney cleaning service contractors"
"176","8027a00","Audiologists","audiologists"
"177","8027b00","Audiometric testing companies","audiometric testing companies"
"178","7295b00","Photofinishing laboratories","photofinishing laboratories"
"179","7295a00","Micrographic service bureaus","micrographic service bureaus"
"180","2492a00","Barrel manufacturing - wood","barrel manufacturing - wood"
"181","8671a00","Churches / temples/ synagogues/ mosques","churches temples synagogues mosques"
"182","1779a00","Cleaning contractors ( building, machinery, equipment, etc.) - Sand blasting","cleaning contractors ( building, machinery, equipment, etc.) - sand blasting"
"183","1779x00","Cleaning contractors ( building, machinery, equipment, etc.) - Sand blasting / Oilfield Operations","cleaning contractors ( building, machinery, equipment, etc.) - sand blasting oilfield operations"
"184","1527a00","Cleaning sewers, drains","cleaning sewers, drains"
"185","7295c00","Photostat and blue print shops","photostat and blue print shops"
"186","5993b00","Book stores - new and used (retail) - excluding rare books","book stores - new and used (retail) - "
"187","7297d00","Tattoo Parlours","tattoo parlours"
"188","7294a00","Photography - aerial","photography - aerial"
"189","1102a00","Coal mining - surface","coal mining - surface"
"190","5813a00","Coffee shops, warming of food only, no roasting of beans","coffee shops, warming of food only,"
"191","1743a00","Bricklaying, stonework, stuccoing","bricklaying, stonework, stuccoing"
"192","1744a00","Plastering, lathing, drywall contractors","plastering, lathing, drywall contractors"
"193","7320a00","Collection agencies (property only)","collection agencies (property only)"
"194","5433h10","Bottled water including water coolers & supplies","bottled water including water coolers supplies"
"195","1741z00","Cement & concrete works - NOC","cement concrete works - noc"
"196","1745a00","Tilework & terrazzo","tilework terrazzo"
"197","1742a00","Precast concrete beam & support installation","precast concrete beam support installation"
"198","1830a00","Commercial and Industrial building contractors (construction only) (COC)","commercial and industrial building contractors (construction only) (coc)"
"199","3590a00","Barrel or drum manufacturing - metal","barrel or drum manufacturing - metal"
"200","0982a00","Commercial fishing","commercial fishing"
"201","7923b00","Athletic event/teams/leagues - amateur - other than contact sports","athletic event teams leagues - amateur - otherthancontact sports"
"202","8918a00","Computer software developers/Consultants","computer software developers consultants"
"203","7407b00","Computer-aided mapping services","computer-aided mapping services"
"204","2811a00","Battery manufacturing - Dry cells","battery manufacturing - dry cells"
"205","6650a00","Condominiums/Stratas  - No Mercantile occupancy ALL CONSTRUCTION","condominiums stratas -"
"206","1741x00","Cementing & Casing (Installation of steel or cement casing - Oil or Gas Wells)","cementing casing (installation of steel or cement casing - oil or gas wells)"
"207","1830b00","Commercial and industrial building contractors (COC) ( renovation / transformation)","commercial and industrial building contractors (coc) ( renovation transformation)"
"208","2811b00","Battery manufacturing - Wet cells","battery manufacturing - wet cells"
"209","7411a00","Contractors Equipment - Cranes, derricks, power shovels -rented to others with operator","contractors equipment - cranes, derricks, power shovels -rented to others with operator"
"210","1621a00","Bridge or flume / canal contr.","bridge or flume canal contr."
"211","7415z00","Contractors Equipment rented to others (other than 7412) - NOC - without operator","contractors equipment rented to others (otherthan7412) - noc - without operator"
"212","1783x00","Hydrostatic Testing - Oilfield Operations","hydrostatic testing - oilfield operations"
"213","7412a00","Contractors Equipment - Cranes, derricks, power shovels -rented to others without operator","contractors equipment - cranes, derricks, power shovels -rented to others without operator"
"214","1779b00","Cleaning contractors ( building, machinery, equipment, etc.) - Water & steam cleaning","cleaning contractors ( building, machinery, equipment, etc.) - water steam cleaning"
"215","7413a00","Contractors Equipment - Scaffolding, ladders, hoists - rented to others","contractors equipment - scaffolding, ladders, hoists - rented to others"
"216","1779x10","Cleaning contractors - water and steam - oilfield operations","cleaning contractors - water and steam - oilfield operations"
"217","8062a00","Birth centers, Midwives","birth centers, midwives"
"218","1770a00","Drilling - water (no oil & gas)","drilling - water "
"219","7415a00","Rental of Compressors, Air Pressure Tanks, Pneumatic Tools, Steam Boilers etc - Without Operator","rental of compressors, air pressure tanks, pneumatic tools, steam boilers etc - without operator"
"220","1512z00","Wrecking, demolition contractor  NOC","wrecking, demolition contractor noc"
"221","1623a00","Jetties, breakwaters, piers, docks, levees contractors","jetties, breakwaters, piers, docks, levees contractors"
"222","5257a00","Building materials (retail)","building materials (retail)"
"223","1779z00","Cleaning contractors ( building, machinery, equipment, etc.) - NOC","cleaning contractors ( building, machinery, equipment, etc.) - noc"
"224","6670a10","Co-operative townhouses - no mercantile","co-operative townhouses -"
"225","6650a10","Co-operatives - no mercantile occupany","co-operatives -"
"226","1633x00","Pipeline Construction - Oilfield Operations","pipeline construction - oilfield operations"
"227","7412x00","Picker Service - Oilfield Operations","picker service - oilfield operations"
"228","3591a00","Boat building - metal","boat building - metal"
"229","7414z00","Contractors Equipment rented to others (other than 7411) - NOC - with operator","contractors equipment rented to others (otherthan7411) - noc - with operator"
"230","7408b90","Counsellors (NOC)","counsellors (noc)"
"231","7414a00","Rental of Compressors, Air Pressure Tanks, Pneumatic Tools, Steam Boilers etc - With Operator","rental of compressors, air pressure tanks, pneumatic tools, steam boilers etc - with operator"
"232","1770b00","Drilling - Other (no oil & gas)","drilling - other "
"233","1511a00","Building raising (excluding moving)","building raising ("
"234","1513a00","Underpinning of buildings","underpinning of buildings"
"235","1633a00","Pipelines construction / Feeder lines (excluding oilfield operations)","pipelines construction feeder lines ("
"236","4118a00","Courier / letter messenger services - rural mail delivery","courier letter messenger services - rural mail delivery"
"237","1782x00","Waste Treatment or removal to designated sites only - Oilfield Operations","waste treatment or removal to designated sites only - oilfield operations"
"238","4118b00","Courier / letter messenger services - urban","courier letter messenger services - urban"
"239","7408q00","Court reporters","court reporters"
"240","7262a00","Crematory operations","crematory operations"
"241","2494a00","Boat building - wood","boat building - wood"
"242","7415x00","Safety Equipment Suppliers - Oilfield Operations","safety equipment suppliers - oilfield operations"
"243","1783b00","Well Testing, Inspection: Non destructive - (no x-ray) Excluding Oilfield Operations","well testing, inspection: non destructive - "
"244","5997a00","Camerasupply stores / film development outlets (retail)","camerasupply stores film development outlets (retail)"
"245","0130a00","Dairy farming","dairy farming"
"246","5060a00","Dairy products","dairy products"
"247","7924b00","Athletic event/teams/leagues - professional - other than contact sports","athletic event teams leagues - professional - otherthancontact sports"
"248","7407a00","Data processing centers","data processing centers"
"249","1511b00","Building raising including moving contractors","building raising including moving contractors"
"250","7408s00","Dating services","dating services"
"251","1780a00","Fireproofing - structures","fireproofing - structures"
"252","7411x00","Contractors Equipment - Cranes, derricks, power shovels -owner operated / Oilfield Operations","contractors equipment - cranes, derricks, power shovels -owner operated oilfield operations"
"253","1782a00","Asbestos, lead, UFI abatement, tank remediation","asbestos, lead, ufi abatement, tank remediation"
"254","1636a00","Pipeline construction / Main lines (excluding oilfield operations)","pipeline construction main lines ("
"255","8301a00","Day care / nursery / kindergarten (not day homes)","day care nursery kindergarten "
"256","1783a10","Hydrostatic Testing - Excluding Oilfield Operations","hydrostatic testing - "
"257","1782f00","Waste Treatment or removal","waste treatment or removal"
"258","8301b00","Day homes","day homes"
"259","3730a00","Boat Building- Fibreglass","boat building- fibreglass"
"260","1772a00","Shipwright operations","shipwright operations"
"261","1638a00","Shaft sinking contractors","shaft sinking contractors"
"262","1635a00","Subways, tunnels construction","subways, tunnels construction"
"263","1634a00","Railroad construction","railroad construction"
"264","5192a00","Dental / hospital / surgical / drafting / eng / scientific equip","dental hospital surgical drafting eng scientific equip"
"265","8084a00","Blood banks (property only)","blood banks (property only)"
"266","1625a00","Dams, reservoirs contractors- incl. hydro-electric const.","dams, reservoirs contractors- incl. hydro-electric const."
"267","1624a00","Dredging operations","dredging operations"
"268","1622a00","Caissons, coffer dams contractors","caissons, coffer dams contractors"
"269","1731x00","Electrical Wiring - Oilfield Operations","electrical wiring - oilfield operations"
"270","1736a00","Electrical apparatus (Heavy Commercial & Industrial)","electrical apparatus (heavy commercial industrial)"
"271","8025a00","Chiropodists, podiatrists","chiropodists, podiatrists"
"272","1731b00","Indoor-electrical and phone wiring installation","indoor-electrical and phone wiring installation"
"273","5313a00","Carpet, floor coverings, draperies retail","carpet, floor coverings, draperies retail"
"274","5259a00","China, crockery and glassware","china, crockery and glassware"
"275","7403b00","Detective, guard, patrol, security services","detective, guard, patrol, security services"
"276","7220a00","Diaper services","diaper services"
"277","8021a00","Chiropractors offices","chiropractors offices"
"278","1732a00","Light, telephone, power lines construction","light, telephone, power lines construction"
"279","7924a00","Athletic events, teams or leagues - professional - contact sports","athletic events, teams or leagues - professional - contact sports"
"280","5823a00","Discotheques, cabarets and any type of nightclub","discotheques, cabarets and any type of nightclub"
"281","3691a00","Boilers, pressure vessels, pump and compressors mfg.","boilers, pressure vessels, pump and compressors manufactur."
"282","2750a00","Book publishing","book publishing"
"283","1394z00","Any Downhole Exposure not otherwise classified","any downhole exposure"
"284","1394i00","B.O.P.'s - Installation, Maintenance, Rental, Service or Repair","b.o.p.'s - installation, maintenance, rental, service or repair"
"285","1735a00","Elevators / escalators contractors (Installation/Service/Maintenance)","elevators escalators contractors (installation service maintenance)"
"286","1733a00","Underground cable or conduit contractors - incl. incidental excavation","underground cable or conduit contractors - incl. incidental excavation"
"287","1734a00","Underground cable or conduit contractors - excl. excavation","underground cable or conduit contractors - "
"288","7993a00","Bathing beaches","bathing beaches"
"289","7299a00","Driver training schools (private)","driver training schools (private)"
"290","5312a00","Clothing, incl. footwear","clothing, incl. footwear"
"291","1736b20","Wind farms/wind turbines installation contractor","wind farms wind turbines installation contractor"
"292","0735a00","Gardening & landscaping excluding lawn sprinkler installation & design","gardening landscaping "
"293","0735b00","Gardening & landscaping including lawn sprinkler installation & design","gardening landscaping including lawn sprinkler installation design"
"294","2873a00","Borax, Phosphate, salt, sulphur refining, potash works, excl mining","borax, phosphate, salt, sulphur refining, potash works, "
"295","2082a00","Bottled water producers","bottled water producers"
"296","5999a00","Coin / stamp / card / rare book dealers","coin stamp card rare book dealers"
"297","5993b99","Comic book stores","comic book stores"
"298","5091a00","Electrical appliances (excluding electronic equipment, computers)","electrical appliances ("
"299","0735x00","Grass Cutting/Weed Control & Spraying - Oilfield Operations","grass cutting weed control spraying - oilfield operations"
"300","1715x10","Flare stacks, Incinerators, Dehydrators, Separators, Flame Arrestors - Installation, Maintenance, Rental, Service or Repair - Oilfield Operations","flare stacks, incinerators, dehydrators, separators, flame arrestors - installation, maintenance, rental, service or repair - oilfield operations"
"301","1532a00","Signs - erection","signs - erection"
"302","1731a00","Electrical wiring contractors - incl. fixtures, appliances","electrical wiring contractors - incl. fixtures, appliances"
"303","1535a00","Glazier operations contractor","glazier operations contractor"
"304","8062z00","Clinics (not doctor / dentist) NOC/Medical Clinics defined as clinics that perform diagnostic testing (Ex-ray, CT scans, MRI etc) and/or they also perform lab work (diagnostic Blood collection) as a major part of their operation.  They can also include emergency services.","clinics noc medical clinics defined as clinics that perform diagnostic testing (ex-ray, ct scans, mri etc) and or they also perform lab work (diagnostic blood collection) as a major part of their operation. they can also include emergency services."
"305","2082b00","Bottling - soft drinks","bottling - soft drinks"
"306","5431a00","Confectioners (retail)","confectioners (retail)"
"307","1831a00","Swimming pool contractors - in ground - dealers and installers","swimming pool contractors - in ground - dealers and installers"
"308","8913b00","Elevator inspection","elevator inspection"
"309","1720a00","Water softening or treatment equipment - incl. installation","water softening or treatment equipment - incl. installation"
"310","1534a00","Antennae installation contractors (television, radio, communications)","antennae installation contractors (television, radio, communications)"
"311","0190c00","Elk and Deer","elk and deer"
"312","1537a00","Machinery, agricultural installation","machinery, agricultural installation"
"313","5301a00","Enclosed shopping malls (building only)","enclosed shopping malls (building only)"
"314","1831b00","Tent erection, removal, repair (off premises)","tent erection, removal, repair (off premises)"
"315","1536b00","Compressor installation","compressor installation"
"316","8916a00","Engineers (if environmental work, treat as IBC 8910)","engineers (if environmental work, treat as ibc 8910)"
"317","1533a00","Tanks installation, maintenance and repairs - not petroleum or fuel tanks - Above ground","tanks installation, maintenance and repairs - above ground"
"318","1533x00","Installation, Maintenance, Rental, Service or Repair of Tanks - Above ground tanks (Excl Fuel/Petroleum Products) - Oilfield Operations","installation, maintenance, rental, service or repair of tanks - above ground tanks ( oilfield operations"
"319","8910a00","Environmental Consultants - excluding Oilfield Operations","environmental consultants - "
"320","8910x00","Environmental Consultants - Oilfield Operations","environmental consultants - oilfield operations"
"321","1531a00","Conveyor systems contractors","conveyor systems contractors"
"322","5991a00","Convenience stores / General / Variety Stores","convenience stores general variety stores"
"323","1533b00","Tanks installation, maintenance and repairs - petroleum or fuel tanks - Above ground","tanks installation, maintenance and repairs - petroleum or fuel tanks - above ground"
"324","1533a10","Tanks installation, maintenance and repairs - not petroleum or fuel tanks - Below ground","tanks installation, maintenance and repairs - below ground"
"325","1533x10","Tanks installation, maintenance and repairs - petroleum or fuel tanks - Below ground","tanks installation, maintenance and repairs - petroleum or fuel tanks - below ground"
"326","1754a00","Painters & decorators - excluding spray paint","painters decorators - "
"327","4461a00","Coal, ore, bulk transfer waterfront operations","coal, ore, bulk transfer waterfront operations"
"328","1755a00","Painters & decorators - including spray paint","painters decorators - including spray paint"
"329","1766a00","Metal doors, windows, awnings - Installation","metal doors, windows, awnings - installation"
"330","1713x00","Pipe Fitting - Oilfield Operations","pipe fitting - oilfield operations"
"331","1765z00","Erection of iron or steel NOC","erection of iron or steel noc"
"332","1712a00","Boiler maintenance contractors, including installation","boiler maintenance contractors, including installation"
"333","1764a00","Erection of iron or steel structural","erection of iron or steel structural"
"334","1714a00","Automatic sprinkler contractor/designer (Lawn sprinkler contractors refer to landscaping 0735)","automatic sprinkler contractor designer (lawn sprinkler contractors refer to landscaping 0735)"
"335","7408a10","Event Organizers","event organizers"
"336","1713a00","Steam fitting","steam fitting"
"337","1774a00","Excavation contractors (Excluding tunnel & subway work)","excavation contractors ("
"338","1774x00","Excavation Contractors incl. Trenching - Oilfield Operations","excavation contractors incl. trenching - oilfield operations"
"339","1713b00","Pipe Fitting - Excluding Oilfield Operations","pipe fitting - "
"340","1712x00","Installation, Maintenance, Rental, Service or Repair of boilers, Pressure Vessels - Oilfield Operations","installation, maintenance, rental, service or repair of boilers, pressure vessels - oilfield operations"
"341","1713x20","Steam fitting - Oilfield Operations - scheduled shutdown or maintenance periods only","steam fitting - oilfield operations - scheduled shutdown or maintenance periods only"
"342","1813a00","Mobile homes, prefab homes - shop operations","mobile homes, prefab homes - shop operations"
"343","2492b00","Boxes, crates, pallets (wood)","boxes, crates, pallets (wood)"
"344","1814a00","Mobile homes, prefab housing -away from shop (site)","mobile homes, prefab housing -away from shop (site)"
"345","5995a00","Country general stores (Population under 3,000)","country general stores (population under 3,000)"
"346","5422a00","Dairy products","dairy products"
"347","5812c00","Family restaurant - licensed","family restaurant - licensed"
"348","7395a00","Furniture, drapery, rug cleaning contractors","furniture, drapery, rug cleaning contractors"
"349","5811c00","Family restaurant - not licensed","family restaurant -"
